7.35E+04	15327000
7.60E+04	13752000
7.84E+04	14202000
8.09E+04	14685000
8.34E+04	12303000
8.59E+04	12330000
8.84E+04	12693000
9.09E+04	12894000
9.34E+04	11601000
9.59E+04	11904000
9.83E+04	12201000
1.01E+05	12525000
1.03E+05	10110000
1.06E+05	9777000
1.08E+05	10011000
1.11E+05	10221000
1.13E+05	10224000
1.16E+05	7848000
1.18E+05	8025000
1.21E+05	8193000
1.23E+05	8358000
1.26E+05	8532000
1.28E+05	7356000
1.31E+05	7173000
1.33E+05	7305000
1.36E+05	7455000
1.38E+05	7587000
1.41E+05	7746000
1.43E+05	5577000
1.46E+05	5436000
1.48E+05	5526000
1.51E+05	5604000
1.53E+05	5715000
1.56E+05	5805000
1.58E+05	5040000
1.61E+05	3534000
1.63E+05	3588000
1.65E+05	3639000
1.68E+05	3702000
1.70E+05	3756000
1.73E+05	3798000
1.75E+05	3861000
1.78E+05	2718000
1.80E+05	2754000
1.83E+05	2787000
1.85E+05	2823000
1.88E+05	2865000
1.90E+05	2901000
1.93E+05	2928000
1.95E+05	2970000
1.98E+05	1797000
2.00E+05	1584000
2.03E+05	1599000
2.05E+05	1632000
2.08E+05	1650000
2.10E+05	1665000
2.13E+05	1680000
2.15E+05	1701000
2.18E+05	1734000
2.20E+05	1053000
2.23E+05	786000
2.25E+05	789000
2.28E+05	807000
2.30E+05	813000
2.33E+05	816000
2.35E+05	834000
2.38E+05	834000
2.40E+05	849000
2.43E+05	858000
2.45E+05	579000
2.48E+05	381000
2.50E+05	384000
2.53E+05	387000
2.55E+05	390000
2.58E+05	396000
2.60E+05	402000
2.62E+05	411000
2.65E+05	411000
2.67E+05	414000
2.70E+05	417000
2.72E+05	366000
2.75E+05	194105
2.77E+05	197595
2.80E+05	197600
2.82E+05	199915
2.85E+05	202275
2.87E+05	200279
2.90E+05	207027
2.92E+05	202754
2.95E+05	211413
2.97E+05	213170
3.00E+05	213063
3.02E+05	215675
3.05E+05	94288
3.07E+05	0
3.10E+05	0
3.12E+05	0
3.15E+05	0
3.17E+05	0
3.20E+05	0
3.22E+05	0
3.25E+05	0
3.27E+05	0
3.30E+05	0
3.32E+05	0
3.35E+05	0
3.37E+05	0
3.40E+05	0
3.42E+05	0
3.45E+05	0
3.47E+05	0
3.50E+05	0
3.52E+05	0
3.55E+05	0
3.57E+05	0
3.59E+05	0
3.62E+05	0
3.64E+05	0
3.67E+05	0
3.69E+05	0
3.72E+05	0
3.74E+05	0
3.77E+05	0
3.79E+05	0
3.82E+05	0
3.84E+05	0
3.87E+05	0
3.89E+05	0
3.92E+05	0
3.94E+05	0
3.97E+05	0
3.99E+05	0
4.02E+05	0
4.04E+05	0
4.07E+05	0
4.09E+05	0
4.12E+05	0
4.14E+05	0
4.17E+05	0
4.19E+05	0
4.22E+05	0
4.24E+05	0
4.27E+05	0
4.29E+05	0
4.32E+05	0
4.34E+05	0
4.37E+05	0
4.39E+05	0
4.42E+05	0
4.44E+05	0
4.47E+05	0
4.49E+05	0
4.52E+05	0
4.54E+05	0
4.56E+05	0
4.59E+05	0
4.61E+05	0
4.64E+05	0
4.66E+05	0
4.69E+05	0
4.71E+05	0
4.74E+05	0
4.76E+05	0
4.79E+05	0
4.81E+05	0
4.84E+05	0
4.86E+05	0
4.89E+05	0
4.91E+05	0
4.94E+05	0
4.96E+05	0
4.99E+05	0
